"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"AvGetSavedDataAddress","External[80000001]","External Function","xboxkrnl.exe","Imported","4","0"
"AvSendTVEncoderOption","External[80000002]","External Function","xboxkrnl.exe","Imported","9","0"
"AvSetDisplayMode","External[80000003]","External Function","xboxkrnl.exe","Imported","2","0"
"AvSetSavedDataAddress","External[80000004]","External Function","xboxkrnl.exe","Imported","2","0"
"DbgPrint","External[80000008]","External Function","xboxkrnl.exe","Imported","2","0"
"ExAllocatePoolWithTag","External[8000000f]","External Function","xboxkrnl.exe","Imported","3","0"
"ExEventObjectType","External[80000010]","External Data","xboxkrnl.exe","Imported","1","0"
"ExFreePool","External[80000011]","External Data","xboxkrnl.exe","Imported","1","0"
"ExQueryPoolBlockSize","External[80000017]","External Function","xboxkrnl.exe","Imported","3","0"
"ExQueryNonVolatileSetting","External[80000018]","External Function","xboxkrnl.exe","Imported","2","0"
"FscSetCacheSize","External[80000025]","External Function","xboxkrnl.exe","Imported","2","0"
"HalDiskCachePartitionCount","External[80000028]","External Data","xboxkrnl.exe","Imported","1","0"
"HalGetInterruptVector","External[8000002c]","External Function","xboxkrnl.exe","Imported","5","0"
"HalReadWritePCISpace","External[8000002e]","External Function","xboxkrnl.exe","Imported","3","0"
"HalRegisterShutdownNotification","External[8000002f]","External Function","xboxkrnl.exe","Imported","9","0"
"HalReturnToFirmware","External[80000031]","External Function","xboxkrnl.exe","Imported","4","0"
"IoCreateSymbolicLink","External[80000043]","External Function","xboxkrnl.exe","Imported","5","0"
"IoDeleteSymbolicLink","External[80000045]","External Function","xboxkrnl.exe","Imported","2","0"
"IoFileObjectType","External[80000047]","External Data","xboxkrnl.exe","Imported","1","0"
"IofCompleteRequest","External[80000057]","External Function","xboxkrnl.exe","Imported","2","0"
"KeBugCheck","External[8000005f]","External Function","xboxkrnl.exe","Imported","4","0"
"KeCancelTimer","External[80000061]","External Function","xboxkrnl.exe","Imported","22","0"
"KeConnectInterrupt","External[80000062]","External Function","xboxkrnl.exe","Imported","5","0"
"KeDelayExecutionThread","External[80000063]","External Function","xboxkrnl.exe","Imported","4","0"
"KeDisconnectInterrupt","External[80000064]","External Function","xboxkrnl.exe","Imported","4","0"
"KeInitializeDpc","External[8000006b]","External Function","xboxkrnl.exe","Imported","12","0"
"KeInitializeInterrupt","External[8000006d]","External Function","xboxkrnl.exe","Imported","5","0"
"KeInitializeTimerEx","External[80000071]","External Function","xboxkrnl.exe","Imported","7","0"
"KeInsertQueueDpc","External[80000077]","External Function","xboxkrnl.exe","Imported","7","0"
"KeQuerySystemTime","External[80000080]","External Function","xboxkrnl.exe","Imported","12","0"
"KeRaiseIrqlToDpcLevel","External[80000081]","External Function","xboxkrnl.exe","Imported","26","0"
"KeRemoveQueueDpc","External[80000089]","External Function","xboxkrnl.exe","Imported","5","0"
"KeRestoreFloatingPointState","External[8000008b]","External Function","xboxkrnl.exe","Imported","2","0"
"KeSaveFloatingPointState","External[8000008e]","External Function","xboxkrnl.exe","Imported","2","0"
"KeSetEvent","External[80000091]","External Function","xboxkrnl.exe","Imported","6","0"
"KeSetTimer","External[80000095]","External Function","xboxkrnl.exe","Imported","13","0"
"KeStallExecutionProcessor","External[80000097]","External Function","xboxkrnl.exe","Imported","8","0"
"KeSynchronizeExecution","External[80000099]","External Function","xboxkrnl.exe","Imported","3","0"
"KeTickCount","External[8000009c]","External Data","xboxkrnl.exe","Imported","1","0"
"KeWaitForSingleObject","External[8000009f]","External Function","xboxkrnl.exe","Imported","7","0"
"KfRaiseIrql","External[800000a0]","External Function","xboxkrnl.exe","Imported","3","0"
"KfLowerIrql","External[800000a1]","External Function","xboxkrnl.exe","Imported","30","0"
"LaunchDataPage","External[800000a4]","External Data","xboxkrnl.exe","Imported","1","0"
"MmAllocateContiguousMemory","External[800000a5]","External Function","xboxkrnl.exe","Imported","3","0"
"MmAllocateContiguousMemoryEx","External[800000a6]","External Function","xboxkrnl.exe","Imported","4","0"
"MmClaimGpuInstanceMemory","External[800000a8]","External Function","xboxkrnl.exe","Imported","2","0"
"MmFreeContiguousMemory","External[800000ab]","External Function","xboxkrnl.exe","Imported","3","0"
"MmGetPhysicalAddress","External[800000ad]","External Function","xboxkrnl.exe","Imported","11","0"
"MmLockUnlockBufferPages","External[800000af]","External Function","xboxkrnl.exe","Imported","12","0"
"MmLockUnlockPhysicalPage","External[800000b0]","External Function","xboxkrnl.exe","Imported","5","0"
"MmPersistContiguousMemory","External[800000b2]","External Function","xboxkrnl.exe","Imported","3","0"
"MmQueryAddressProtect","External[800000b3]","External Function","xboxkrnl.exe","Imported","2","0"
"MmQueryAllocationSize","External[800000b4]","External Function","xboxkrnl.exe","Imported","4","0"
"MmQueryStatistics","External[800000b5]","External Function","xboxkrnl.exe","Imported","2","0"
"MmSetAddressProtect","External[800000b6]","External Function","xboxkrnl.exe","Imported","3","0"
"NtAllocateVirtualMemory","External[800000b8]","External Function","xboxkrnl.exe","Imported","12","0"
"NtClose","External[800000bb]","External Function","xboxkrnl.exe","Imported","24","0"
"NtCreateEvent","External[800000bd]","External Function","xboxkrnl.exe","Imported","2","0"
"NtCreateFile","External[800000be]","External Function","xboxkrnl.exe","Imported","10","0"
"NtDeviceIoControlFile","External[800000c4]","External Function","xboxkrnl.exe","Imported","5","0"
"NtFlushBuffersFile","External[800000c6]","External Function","xboxkrnl.exe","Imported","2","0"
"NtFreeVirtualMemory","External[800000c7]","External Function","xboxkrnl.exe","Imported","7","0"
"NtFsControlFile","External[800000c8]","External Function","xboxkrnl.exe","Imported","2","0"
"NtOpenFile","External[800000ca]","External Function","xboxkrnl.exe","Imported","11","0"
"NtOpenSymbolicLinkObject","External[800000cb]","External Function","xboxkrnl.exe","Imported","2","0"
"NtQueryDirectoryFile","External[800000cf]","External Function","xboxkrnl.exe","Imported","4","0"
"NtQueryInformationFile","External[800000d3]","External Function","xboxkrnl.exe","Imported","10","0"
"NtQuerySymbolicLinkObject","External[800000d7]","External Function","xboxkrnl.exe","Imported","2","0"
"NtQueryVirtualMemory","External[800000d9]","External Function","xboxkrnl.exe","Imported","3","0"
"NtQueryVolumeInformationFile","External[800000da]","External Function","xboxkrnl.exe","Imported","4","0"
"NtReadFile","External[800000db]","External Function","xboxkrnl.exe","Imported","8","0"
"NtSetEvent","External[800000e1]","External Function","xboxkrnl.exe","Imported","5","0"
"NtSetInformationFile","External[800000e2]","External Function","xboxkrnl.exe","Imported","13","0"
"NtWaitForSingleObject","External[800000e9]","External Function","xboxkrnl.exe","Imported","3","0"
"NtWaitForSingleObjectEx","External[800000ea]","External Function","xboxkrnl.exe","Imported","2","0"
"NtWriteFile","External[800000ec]","External Function","xboxkrnl.exe","Imported","11","0"
"ObReferenceObjectByHandle","External[800000f6]","External Function","xboxkrnl.exe","Imported","3","0"
"ObfDereferenceObject","External[800000fa]","External Function","xboxkrnl.exe","Imported","2","0"
"PsCreateSystemThreadEx","External[800000ff]","External Function","xboxkrnl.exe","Imported","2","0"
"PsTerminateSystemThread","External[80000102]","External Function","xboxkrnl.exe","Imported","2","0"
"RtlAnsiStringToUnicodeString","External[80000104]","External Function","xboxkrnl.exe","Imported","2","0"
"RtlCompareMemoryUlong","External[8000010d]","External Function","xboxkrnl.exe","Imported","8","0"
"RtlEnterCriticalSection","External[80000115]","External Function","xboxkrnl.exe","Imported","16","0"
"RtlEqualString","External[80000117]","External Function","xboxkrnl.exe","Imported","2","0"
"RtlInitAnsiString","External[80000121]","External Function","xboxkrnl.exe","Imported","18","0"
"RtlInitializeCriticalSection","External[80000123]","External Function","xboxkrnl.exe","Imported","4","0"
"RtlLeaveCriticalSection","External[80000126]","External Function","xboxkrnl.exe","Imported","117","0"
"RtlNtStatusToDosError","External[8000012d]","External Function","xboxkrnl.exe","Imported","8","0"
"RtlRaiseException","External[8000012e]","External Function","xboxkrnl.exe","Imported","4","0"
"RtlTimeFieldsToTime","External[80000130]","External Function","xboxkrnl.exe","Imported","6","0"
"RtlTimeToTimeFields","External[80000131]","External Function","xboxkrnl.exe","Imported","5","0"
"RtlUnwind","External[80000138]","External Function","xboxkrnl.exe","Imported","2","0"
"XboxHardwareInfo","External[80000142]","External Data","xboxkrnl.exe","Imported","1","0"
"XboxHDKey","External[80000143]","External Data","xboxkrnl.exe","Imported","1","0"
"XboxKrnlVersion","External[80000144]","External Data","xboxkrnl.exe","Imported","1","0"
"XboxSignatureKey","External[80000145]","External Data","xboxkrnl.exe","Imported","1","0"
"XeImageFileName","External[80000146]","External Data","xboxkrnl.exe","Imported","1","0"
"XeLoadSection","External[80000147]","External Function","xboxkrnl.exe","Imported","2","0"
"XeUnloadSection","External[80000148]","External Function","xboxkrnl.exe","Imported","2","0"
"XcSHAInit","External[8000014f]","External Function","xboxkrnl.exe","Imported","2","0"
"XcSHAUpdate","External[80000150]","External Function","xboxkrnl.exe","Imported","2","0"
"XcSHAFinal","External[80000151]","External Function","xboxkrnl.exe","Imported","2","0"
"XcHMAC","External[80000154]","External Function","xboxkrnl.exe","Imported","2","0"
"XcVerifyPKCS1Signature","External[80000158]","External Function","xboxkrnl.exe","Imported","2","0"
"XboxAlternateSignatureKeys","External[80000162]","External Data","xboxkrnl.exe","Imported","1","0"
"XePublicKeyData","External[80000163]","External Data","xboxkrnl.exe","Imported","1","0"
"HalBootSMCVideoMode","External[80000164]","External Data","xboxkrnl.exe","Imported","1","0"
"IdexChannelObject","External[80000165]","External Data","xboxkrnl.exe","Imported","1","0"
"HalInitiateShutdown","External[80000168]","External Function","xboxkrnl.exe","Imported","2","0"
"D3DDevice__m_VertexShader_OFFSET","00000790","Label","D3D8","Analysis","0","0"
"FUN_00011000","00011000","Function","Global","Default","1","0"
"FUN_00011080","00011080","Function","Global","Default","1","0"
"FUN_00011200","00011200","Function","Global","Default","1","0"
"FUN_00011310","00011310","Function","Global","Default","1","0"
"FUN_00011630","00011630","Function","Global","Default","3","0"
"FUN_00011690","00011690","Function","Global","Default","8","0"
"FUN_000116e0","000116e0","Function","Global","Default","0","0"
"FUN_000117f0","000117f0","Function","Global","Default","0","0"
"FUN_000118c0","000118c0","Function","Global","Default","0","0"
"FUN_00011b90","00011b90","Function","Global","Default","1","0"
"FUN_00011bd0","00011bd0","Function","Global","Default","0","0"
"FUN_00011d60","00011d60","Function","Global","Default","0","0"
"FUN_000122d0","000122d0","Function","Global","Default","1","0"
"FUN_00012350","00012350","Function","Global","Default","1","0"
"FUN_00012380","00012380","Function","Global","Default","1","0"
"switchD","000124da","Instruction Label","switchD_000124da","Analysis","0","0"
"caseD_0","000124e1","Instruction Label","switchD_000124da","Analysis","2","0"
"caseD_1","000124f5","Instruction Label","switchD_000124da","Analysis","2","0"
"caseD_2","00012536","Instruction Label","switchD_000124da","Analysis","2","0"
"caseD_3","000125ad","Instruction Label","switchD_000124da","Analysis","2","0"
"caseD_4","000125f0","Instruction Label","switchD_000124da","Analysis","6","0"
"switchdataD_00012644","00012644","Data Label","switchD_000124da","Analysis","1","0"
"FUN_00012710","00012710","Function","Global","Default","11","0"
"FUN_00012750","00012750","Function","Global","Default","4","0"
"FUN_00012790","00012790","Function","Global","Default","1","0"
"FUN_000127c0","000127c0","Function","Global","Default","1","0"
"FUN_00012820","00012820","Function","Global","Default","8","0"
"FUN_00012860","00012860","Function","Global","Default","5","0"
"FUN_000128b0","000128b0","Function","Global","Default","5","0"
"FUN_00012900","00012900","Function","Global","Default","6","0"
"FUN_00012a20","00012a20","Function","Global","Default","1","0"
"FUN_00012bf0","00012bf0","Function","Global","Default","3","0"
"FUN_00012cc0","00012cc0","Function","Global","Default","1","0"
"FUN_00013070","00013070","Function","Global","Default","0","0"
"FUN_00013180","00013180","Function","Global","Default","4","0"
"FUN_00013540","00013540","Function","Global","Default","1","0"
"FUN_00013750","00013750","Function","Global","Default","1","0"
"FUN_000139d0","000139d0","Function","Global","Default","3","0"
"FUN_00014800","00014800","Function","Global","Default","2","0"
"FUN_00014830","00014830","Function","Global","Default","2","0"
"FUN_00014860","00014860","Function","Global","Default","0","0"
"FUN_00014a50","00014a50","Function","Global","Default","1","0"
"FUN_00014b60","00014b60","Function","Global","Default","1","0"
"FUN_00014c60","00014c60","Function","Global","Default","3","0"
"FUN_00014cf0","00014cf0","Function","Global","Default","1","0"
"FUN_00014e70","00014e70","Function","Global","Default","1","0"
"FUN_00014f70","00014f70","Function","Global","Default","2","0"
"FUN_00014fd0","00014fd0","Function","Global","Default","2","0"
"FUN_00015190","00015190","Function","Global","Default","2","0"
"FUN_00015390","00015390","Function","Global","Default","1","0"
"FUN_000154d0","000154d0","Function","Global","Default","7","0"
"FUN_00015500","00015500","Function","Global","Default","1","0"
"FUN_00015590","00015590","Function","Global","Default","1","0"
"FUN_00015990","00015990","Function","Global","Default","1","0"
"FUN_000159f0","000159f0","Function","Global","Default","1","0"
"switchD","00015b97","Instruction Label","switchD_00015b97","Analysis","0","0"
"caseD_5","00015b9e","Instruction Label","switchD_00015b97","Analysis","2","0"
"caseD_6","00015bc1","Instruction Label","switchD_00015b97","Analysis","3","0"
"caseD_7","00015bc1","Instruction Label","switchD_00015b97","Analysis","0","0"
"caseD_8","00015be4","Instruction Label","switchD_00015b97","Analysis","3","0"
"caseD_9","00015be4","Instruction Label","switchD_00015b97","Analysis","0","0"
"caseD_a","00015c07","Instruction Label","switchD_00015b97","Analysis","2","0"
"caseD_c","00015c2a","Instruction Label","switchD_00015b97","Analysis","0","0"
"caseD_b","00015c2a","Instruction Label","switchD_00015b97","Analysis","3","0"
"caseD_d","00015c6f","Instruction Label","switchD_00015b97","Analysis","2","0"
"caseD_e","00015ca0","Instruction Label","switchD_00015b97","Analysis","2","0"
"caseD_f","00015cd1","Instruction Label","switchD_00015b97","Analysis","2","0"
"caseD_b","00015ce8","Instruction Label","switchD_00015b97","Analysis","18","0"
"switchdataD_00015d5c","00015d5c","Data Label","switchD_00015b97","Analysis","0","0"
"FUN_00015fc0","00015fc0","Function","Global","Default","1","0"
"FUN_000160c0","000160c0","Function","Global","Default","2","0"
"FUN_000163f8","000163f8","Function","Global","Default","1","0"
"FUN_000164e0","000164e0","Function","Global","Default","2","0"
"FUN_000165a0","000165a0","Function","Global","Default","1","0"
"FUN_00016670","00016670","Function","Global","Default","3","0"
"FUN_000166d0","000166d0","Function","Global","Default","1","0"
"FUN_00016780","00016780","Function","Global","Default","1","0"
"FUN_00016a50","00016a50","Function","Global","Default","22","0"
"FUN_00016ad0","00016ad0","Function","Global","Default","30","0"
"FUN_00016b30","00016b30","Function","Global","Default","65","0"
"FUN_00016b90","00016b90","Function","Global","Default","2","0"
"FUN_00016bb0","00016bb0","Function","Global","Default","94","0"
"FUN_00016c10","00016c10","Function","Global","Default","2","0"
